# Scholarly publications on artificial intelligence
# total: annual count of AI publications; per_million: same, per million population
# Original source: Stanford AI Index Report, via Our World in Data
# Compiled by Muhammad Ikram, https://drmuhammadikram.com/data/ai-research/
# Free to use. Please cite the original source and this compilation.
iso_numeric,country,year,total,per_million
188,Costa Rica,2023,49.0,9.597
188,Costa Rica,2024,71.0,13.84
191,Croatia,2016,237.0,57.296
191,Croatia,2017,233.0,57.119
191,Croatia,2018,265.0,65.841
191,Croatia,2019,277.0,69.487
191,Croatia,2020,370.0,93.577
191,Croatia,2021,434.0,110.584
191,Croatia,2022,427.0,109.29
191,Croatia,2023,475.0,121.919
191,Croatia,2024,435.0,112.249
192,Cuba,2016,80.0,7.101
192,Cuba,2017,74.0,6.579
192,Cuba,2018,104.0,9.263
192,Cuba,2019,105.0,9.373
192,Cuba,2020,87.0,7.784
192,Cuba,2021,104.0,9.351
192,Cuba,2022,41.0,3.707
192,Cuba,2023,28.0,2.541
192,Cuba,2024,48.0,4.372
196,Cyprus,2016,141.0,113.975
196,Cyprus,2017,167.0,133.145
196,Cyprus,2018,181.0,142.436
196,Cyprus,2019,213.0,165.544
196,Cyprus,2020,278.0,213.477
196,Cyprus,2021,352.0,267.211
196,Cyprus,2022,337.0,253.122
196,Cyprus,2023,427.0,317.477
196,Cyprus,2024,438.0,322.465
203,Czechia,2016,782.0,74.25
203,Czechia,2017,810.0,76.84
203,Czechia,2018,876.0,83.042
203,Czechia,2019,965.0,91.427
203,Czechia,2020,1017.0,96.397
203,Czechia,2021,1152.0,109.395
203,Czechia,2022,1034.0,96.878
203,Czechia,2023,1129.0,104.443
203,Czechia,2024,867.0,80.757
204,Benin,2016,11.0,0.94
204,Benin,2017,7.0,0.581
204,Benin,2018,10.0,0.808
204,Benin,2019,10.0,0.786
204,Benin,2020,20.0,1.53
204,Benin,2021,12.0,0.895
204,Benin,2022,29.0,2.108
204,Benin,2023,32.0,2.268
204,Benin,2024,34.0,2.351
208,Denmark,2016,697.0,121.679
208,Denmark,2017,754.0,130.786
208,Denmark,2018,975.0,168.283
208,Denmark,2019,1126.0,193.65
208,Denmark,2020,1365.0,234.072
208,Denmark,2021,1775.0,303.068
208,Denmark,2022,1825.0,309.17
208,Denmark,2023,2147.0,360.954
208,Denmark,2024,2200.0,368.052
214,Dominican Republic,2016,2.0,0.19
214,Dominican Republic,2017,1.0,0.094
214,Dominican Republic,2018,5.0,0.464
214,Dominican Republic,2019,5.0,0.459
214,Dominican Republic,2020,5.0,0.454
214,Dominican Republic,2021,3.0,0.27
214,Dominican Republic,2022,4.0,0.356
214,Dominican Republic,2023,6.0,0.53
214,Dominican Republic,2024,18.0,1.575
218,Ecuador,2016,153.0,9.27
218,Ecuador,2017,306.0,18.258
218,Ecuador,2018,340.0,19.942
218,Ecuador,2019,377.0,21.742
218,Ecuador,2020,371.0,21.144
218,Ecuador,2021,385.0,21.773
218,Ecuador,2022,294.0,16.495
218,Ecuador,2023,409.0,22.747
218,Ecuador,2024,454.0,25.034
222,El Salvador,2016,2.0,0.323
222,El Salvador,2017,3.0,0.483
222,El Salvador,2018,7.0,1.125
222,El Salvador,2019,4.0,0.643
222,El Salvador,2020,8.0,1.283
222,El Salvador,2021,7.0,1.119
222,El Salvador,2022,19.0,3.025
222,El Salvador,2023,14.0,2.219
222,El Salvador,2024,21.0,3.313
226,Equatorial Guinea,2020,1.0,0.583
226,Equatorial Guinea,2021,1.0,0.569
226,Equatorial Guinea,2022,1.0,0.554
226,Equatorial Guinea,2023,1.0,0.541
231,Ethiopia,2016,25.0,0.234
231,Ethiopia,2017,38.0,0.347
231,Ethiopia,2018,47.0,0.417
231,Ethiopia,2019,68.0,0.588
231,Ethiopia,2020,129.0,1.085
231,Ethiopia,2021,268.0,2.194
231,Ethiopia,2022,588.0,4.69
231,Ethiopia,2023,410.0,3.186
231,Ethiopia,2024,474.0,3.589
232,Eritrea,2021,1.0,0.298
232,Eritrea,2022,2.0,0.587
232,Eritrea,2023,4.0,1.153
232,Eritrea,2024,8.0,2.263
233,Estonia,2016,72.0,54.717
233,Estonia,2017,97.0,73.628
233,Estonia,2018,129.0,97.581
233,Estonia,2019,147.0,110.791
233,Estonia,2020,224.0,168.462
233,Estonia,2021,247.0,185.47
233,Estonia,2022,253.0,187.394
233,Estonia,2023,293.0,214.307
233,Estonia,2024,260.0,191.099
242,Fiji,2016,29.0,31.55
242,Fiji,2017,24.0,26.122
242,Fiji,2018,18.0,19.625
242,Fiji,2019,26.0,28.418
242,Fiji,2020,38.0,41.531
242,Fiji,2021,37.0,40.361
242,Fiji,2022,32.0,34.804
242,Fiji,2023,36.0,38.955
242,Fiji,2024,37.0,39.836
246,Finland,2016,677.0,123.192
246,Finland,2017,688.0,124.9
246,Finland,2018,852.0,154.467
246,Finland,2019,1140.0,206.456
246,Finland,2020,1286.0,232.566
246,Finland,2021,1496.0,269.984
246,Finland,2022,1436.0,257.842
246,Finland,2023,1607.0,286.904
246,Finland,2024,1512.0,269.168
250,France,2016,5445.0,83.657
250,France,2017,5443.0,83.373
250,France,2018,6111.0,93.27
250,France,2019,6971.0,106.056
250,France,2020,7335.0,111.296
250,France,2021,7640.0,115.611
250,France,2022,7354.0,110.958
250,France,2023,7895.0,118.831
250,France,2024,7681.0,115.42
262,Djibouti,2017,1.0,0.948
262,Djibouti,2023,2.0,1.735
262,Djibouti,2024,1.0,0.856
266,Gabon,2017,1.0,0.464
266,Gabon,2019,2.0,0.882
266,Gabon,2020,2.0,0.861
266,Gabon,2021,2.0,0.841
266,Gabon,2022,18.0,7.405
266,Gabon,2023,10.0,4.024
266,Gabon,2024,6.0,2.363
268,Georgia,2016,14.0,3.692
268,Georgia,2017,12.0,3.164
268,Georgia,2018,23.0,6.061
268,Georgia,2019,17.0,4.478
268,Georgia,2020,35.0,9.221
268,Georgia,2021,42.0,11.086
268,Georgia,2022,38.0,10.014
268,Georgia,2023,49.0,12.869
268,Georgia,2024,69.0,18.121
270,Gambia,2016,1.0,0.438
270,Gambia,2019,1.0,0.407
270,Gambia,2020,1.0,0.397
270,Gambia,2021,4.0,1.553
270,Gambia,2022,2.0,0.759
270,Gambia,2023,7.0,2.595
270,Gambia,2024,5.0,1.812
276,Germany,2016,6292.0,76.027
276,Germany,2017,6755.0,81.284
276,Germany,2018,7952.0,95.384
276,Germany,2019,9599.0,114.877
276,Germany,2020,11436.0,136.747
276,Germany,2021,13127.0,156.839
276,Germany,2022,12419.0,147.694
276,Germany,2023,14047.0,166.142
276,Germany,2024,12793.0,151.303
288,Ghana,2016,18.0,0.613
288,Ghana,2017,26.0,0.866
288,Ghana,2018,55.0,1.795
288,Ghana,2019,71.0,2.271
288,Ghana,2020,83.0,2.603
288,Ghana,2021,173.0,5.32
288,Ghana,2022,229.0,6.908
288,Ghana,2023,212.0,6.274
288,Ghana,2024,277.0,8.046
300,Greece,2016,908.0,84.265
300,Greece,2017,817.0,75.975
300,Greece,2018,1072.0,99.899
300,Greece,2019,1150.0,107.29
300,Greece,2020,1474.0,137.765
300,Greece,2021,1889.0,178.552
300,Greece,2022,1868.0,179.4
300,Greece,2023,2222.0,216.931
300,Greece,2024,2011.0,200.143
320,Guatemala,2016,2.0,0.123
320,Guatemala,2017,10.0,0.604
320,Guatemala,2018,6.0,0.356
320,Guatemala,2019,15.0,0.877
320,Guatemala,2020,13.0,0.749
320,Guatemala,2021,10.0,0.568
320,Guatemala,2022,4.0,0.224
320,Guatemala,2023,32.0,1.766
320,Guatemala,2024,20.0,1.087
324,Guinea,2021,1.0,0.073
324,Guinea,2022,1.0,0.071
324,Guinea,2023,3.0,0.208
328,Guyana,2017,2.0,2.603
328,Guyana,2020,1.0,1.238
328,Guyana,2022,1.0,1.217
328,Guyana,2023,5.0,6.051
328,Guyana,2024,11.0,13.236
332,Haiti,2016,1.0,0.094
332,Haiti,2018,1.0,0.091
332,Haiti,2019,1.0,0.09
332,Haiti,2020,1.0,0.089
332,Haiti,2021,1.0,0.088
332,Haiti,2022,3.0,0.261
332,Haiti,2023,1.0,0.086
332,Haiti,2024,2.0,0.17
340,Honduras,2016,1.0,0.106
340,Honduras,2017,2.0,0.209
340,Honduras,2018,6.0,0.614
340,Honduras,2019,14.0,1.408
340,Honduras,2020,71.0,7.016
340,Honduras,2021,22.0,2.138
340,Honduras,2022,35.0,3.345
340,Honduras,2023,38.0,3.57
340,Honduras,2024,33.0,3.048
348,Hungary,2016,347.0,35.37
348,Hungary,2017,306.0,31.27
348,Hungary,2018,441.0,45.118
348,Hungary,2019,578.0,59.159
348,Hungary,2020,657.0,67.388
348,Hungary,2021,714.0,73.549
348,Hungary,2022,844.0,87.151
348,Hungary,2023,868.0,89.61
348,Hungary,2024,918.0,94.873
352,Iceland,2016,71.0,211.58
352,Iceland,2017,80.0,232.872
352,Iceland,2018,57.0,161.537
352,Iceland,2019,81.0,224.558
352,Iceland,2020,73.0,199.113
352,Iceland,2021,63.0,169.061
352,Iceland,2022,96.0,252.387
352,Iceland,2023,97.0,250.284
352,Iceland,2024,88.0,223.689
356,India,2016,10409.0,7.745
356,India,2017,11672.0,8.585
356,India,2018,14333.0,10.427
356,India,2019,16386.0,11.797
356,India,2020,21166.0,15.09
356,India,2021,29472.0,20.84
356,India,2022,31475.0,22.081
356,India,2023,43924.0,30.544
356,India,2024,52054.0,35.876
360,Indonesia,2016,1185.0,4.478
360,Indonesia,2017,1801.0,6.737
360,Indonesia,2018,2638.0,9.772
360,Indonesia,2019,3291.0,12.078
360,Indonesia,2020,3860.0,14.046
360,Indonesia,2021,4560.0,16.476
360,Indonesia,2022,5093.0,18.266
360,Indonesia,2023,7180.0,25.534
360,Indonesia,2024,6750.0,23.811
364,Iran,2016,1508.0,17.993
364,Iran,2017,1792.0,21.076
364,Iran,2018,1718.0,19.949
364,Iran,2019,2223.0,25.537
364,Iran,2020,2609.0,29.741
364,Iran,2021,2963.0,33.497
